Name	Index	Desc	Assay	CellLine or Tissue	Group	Lifestage	Type
Germinal_matrix_male_embryo__20_weeks_	2978	Germinal matrix H3K27me3 Chip-Seq	CHIP_H3K27me3	Germinal matrix	Brain	Developing	Tissue
Germinal_matrix_male_embryo__20_weeks_	4271	Germinal matrix H3K27me3 Chip-Seq	CHIP_H3K27me3	Germinal matrix	Brain	Developing	Tissue
Layer_of_hippocampus_female_adult__75_years_	3948	Layer of hippocampus H3K27me3 Chip-Seq	CHIP_H3K27me3	Layer of hippocampus	Brain	Adult	Tissue
Layer_of_hippocampus_male_adult__73_years_	1684	Layer of hippocampus H3K27me3 Chip-Seq	CHIP_H3K27me3	Layer of hippocampus	Brain	Adult	Tissue
Layer_of_hippocampus_male_adult__81_year_	3645	Layer of hippocampus H3K27me3 Chip-Seq	CHIP_H3K27me3	Layer of hippocampus	Brain	Adult	Tissue
Middle_frontal_area_46_male_adult__81_year_	2397	Middle frontal area 46 H3K27me3 Chip-Seq	CHIP_H3K27me3	Middle frontal area 46	Brain	Adult	Tissue
CHIP_H3K27me3_substantia_nigra_female_adult__75_years_	2020	Substantia nigra H3K27me3 Chip-Seq	CHIP_H3K27me3	Substantia nigra	Brain	Adult	Tissue
CHIP_H3K27me3_substantia_nigra_male_adult__81_year_	2589	Substantia nigra H3K27me3 Chip-Seq	CHIP_H3K27me3	Substantia nigra	Brain	Adult	Tissue
CHIP_H3K27me3_temporal_lobe_female_adult__75_years_	3210	Temporal lobe H3K27me3 Chip-Seq	CHIP_H3K27me3	Temporal lobe	Brain	Adult	Tissue
CHIP_H3K27me3_temporal_lobe_male_adult__81_year_	2545	Temporal lobe H3K27me3 Chip-Seq	CHIP_H3K27me3	Temporal lobe	Brain	Adult	Tissue
CHIP_H3K27me3_A549_treated_with_0_02%_ethanol_for_1_hour	849	A549 H3K27me3 Chip-Seq	CHIP_H3K27me3	A549	Cancer	Unknown	Cell Line
CHIP_H3K27me3_A673	3758	A673 H3K27me3 Chip-Seq	CHIP_H3K27me3	A673	Cancer	Unknown	Cell Line
CHIP_H3K27me3_ACC112	2907	ACC112 H3K27me3 Chip-Seq	CHIP_H3K27me3	ACC112	Cancer	Unknown	Cell Line
Caco_2	1125	Caco-2 H3K27me3 Chip-Seq	CHIP_H3K27me3	Caco-2	Cancer	Unknown	Cell Line
DND_41	827	DND-41 H3K27me3 Chip-Seq	CHIP_H3K27me3	DND-41	Cancer	Unknown	Cell Line
DOHH2	2521	DOHH2 H3K27me3 Chip-Seq	CHIP_H3K27me3	DOHH2	Cancer	Unknown	Cell Line
HCT116	3958	HCT116 H3K27me3 Chip-Seq	CHIP_H3K27me3	HCT116	Cancer	Unknown	Cell Line
HeLa_S3	759	HeLa S3 H3K27me3 Chip-Seq	CHIP_H3K27me3	HeLa S3	Cancer	Unknown	Cell Line
HeLa_S3_G1b_phase	1177	HeLa S3 G1b phase H3K27me3 Chip-Seq	CHIP_H3K27me3	HeLa S3 G1b phase	Cancer	Unknown	Cell Line
Karpas_422	4409	Karpas-422 H3K27me3 Chip-Seq	CHIP_H3K27me3	Karpas-422	Cancer	Unknown	Cell Line
KMS_11	2905	KMS-11 H3K27me3 Chip-Seq	CHIP_H3K27me3	KMS-11	Cancer	Unknown	Cell Line
Loucy	2025	Loucy H3K27me3 Chip-Seq	CHIP_H3K27me3	Loucy	Cancer	Unknown	Cell Line
MM_1S	2679	MM.1S H3K27me3 Chip-Seq	CHIP_H3K27me3	MM.1S	Cancer	Unknown	Cell Line
NT2_D1	1404	NT2 D1 H3K27me3 Chip-Seq	CHIP_H3K27me3	NT2 D1	Cancer	Unknown	Cell Line
OCI_LY1	4105	OCI LY1 H3K27me3 Chip-Seq	CHIP_H3K27me3	OCI LY1	Cancer	Unknown	Cell Line
OCI_LY3	4126	OCI LY3 H3K27me3 Chip-Seq	CHIP_H3K27me3	OCI LY3	Cancer	Unknown	Cell Line
Panc1	1439	Panc1 H3K27me3 Chip-Seq	CHIP_H3K27me3	Panc1	Cancer	Unknown	Cell Line
PC_3	4165	PC 3 H3K27me3 Chip-Seq	CHIP_H3K27me3	PC 3	Cancer	Unknown	Cell Line
PC_9	3691	PC 9 H3K27me3 Chip-Seq	CHIP_H3K27me3	PC 9	Cancer	Unknown	Cell Line
SK_N_SH	4279	SK N SH H3K27me3 Chip-Seq	CHIP_H3K27me3	SK N SH	Cancer	Unknown	Cell Line
SK_N_SH_treated_with_6_uM_all_trans_retinoic_acid_for_48_hours	1233	SK N SH treated with 6 uM all-trans retinoic acid for 48 hours H3K27me3 Chip-Seq	CHIP_H3K27me3	SK N SH treated with 6 uM all-trans retinoic acid for 48 hours	Cancer	Unknown	Cell Line
SU_DHL_6	3035	SU DHL 6 H3K27me3 Chip-Seq	CHIP_H3K27me3	SU DHL 6	Cancer	Unknown	Cell Line
Parathyroid_adenoma_male_adult__62_years_	2579	Parathyroid adenoma H3K27me3 Chip-Seq	CHIP_H3K27me3	Parathyroid adenoma	Cancer	Adult	Tissue
Colonic_mucosa_female_adult__56_years_	4019	Colonic mucosa H3K27me3 Chip-Seq	CHIP_H3K27me3	Colonic mucosa	Digestive	Adult	Tissue
Colonic_mucosa_female_adult__73_years_	3195	Colonic mucosa H3K27me3 Chip-Seq	CHIP_H3K27me3	Colonic mucosa	Digestive	Adult	Tissue
Duodenal_mucosa_male_adult__59_years_	1633	Duodenal mucosa H3K27me3 Chip-Seq	CHIP_H3K27me3	Duodenal Mucosa	Digestive	Adult	Tissue
Duodenal_mucosa_male_adult__76_years_	3442	Duodenal mucosa H3K27me3 Chip-Seq	CHIP_H3K27me3	Duodenal Mucosa	Digestive	Adult	Tissue
Esophagus_female_adult__30_years_	3431	Esophagus H3K27me3 Chip-Seq	CHIP_H3K27me3	Esophagus	Digestive	Adult	Tissue
Esophagus_male_adult__34_years_	1720	Esophagus H3K27me3 Chip-Seq	CHIP_H3K27me3	Esophagus	Digestive	Adult	Tissue
Esophagus_muscularis_mucosa_female_adult__53_years_	2006	Esophagus muscularis mucosa H3K27me3 Chip-Seq	CHIP_H3K27me3	Esophagus muscularis mucosa	Digestive	Adult	Tissue
Esophagus_squamous_epithelium_female_adult__53_years_	1618	Esophagus squamous epithelium H3K27me3 Chip-Seq	CHIP_H3K27me3	Esophagus squamous epithelium	Digestive	Adult	Tissue
Large_intestine_male_embryo__108_days_	1942	Large intestine H3K27me3 Chip-Seq	CHIP_H3K27me3	Large intestine	Digestive	Developing	Tissue
Mucosa_of_rectum_female_adult__50_years_	3711	Mucosa of rectum H3K27me3 Chip-Seq	CHIP_H3K27me3	Mucosa of rectum	Digestive	Adult	Tissue
Mucosa_of_rectum_female_adult__61_year_	2476	Mucosa of rectum H3K27me3 Chip-Seq	CHIP_H3K27me3	Mucosa of rectum	Digestive	Adult	Tissue
Mucosa_of_stomach_male_adult__59_years_	3830	Mucosa of stomach H3K27me3 Chip-Seq	CHIP_H3K27me3	Mucosa of stomach	Digestive	Adult	Tissue
Peyer's_patch_female_adult__53_years_	4462	Peyer's patch H3K27me3 Chip-Seq	CHIP_H3K27me3	Peyer's patch	Digestive	Adult	Tissue
Sigmoid_colon_male_adult__34_years_	1584	Sigmoid colon H3K27me3 Chip-Seq	CHIP_H3K27me3	Sigmoid colon	Digestive	Adult	Tissue
Sigmoid_colon_male_child__3_years_	4220	Sigmoid colon H3K27me3 Chip-Seq	CHIP_H3K27me3	Sigmoid colon	Digestive	Child	Tissue
Small_intestine_female_adult__30_years_	4155	Small intestine H3K27me3 Chip-Seq	CHIP_H3K27me3	Small intestine	Digestive	Adult	Tissue
Small_intestine_male_child__3_years_	2491	Small intestine H3K27me3 Chip-Seq	CHIP_H3K27me3	Small intestine	Digestive	Child	Tissue
Small_intestine_male_embryo__108_days_	4101	Small intestine H3K27me3 Chip-Seq	CHIP_H3K27me3	Small intestine	Digestive	Developing	Tissue
Stomach_female_adult__53_years_	2544	Stomach H3K27me3 Chip-Seq	CHIP_H3K27me3	Stomach	Digestive	Adult	Tissue
Stomach_male_adult__34_years_	3084	Stomach H3K27me3 Chip-Seq	CHIP_H3K27me3	Stomach	Digestive	Adult	Tissue
Stomach_female_embryo__96_days_	2533	Stomach H3K27me3 Chip-Seq	CHIP_H3K27me3	Stomach	Digestive	Developing	Tissue
Stomach_smooth_muscle_female_adult__84_years_	4342	Stomach smooth muscle H3K27me3 Chip-Seq	CHIP_H3K27me3	Stomach smooth muscle	Digestive	Adult	Tissue
Stomach_smooth_muscle_male_adult__59_years_	2130	Stomach smooth muscle H3K27me3 Chip-Seq	CHIP_H3K27me3	Stomach smooth muscle	Digestive	Adult	Tissue
CHIP_H3K27me3_transverse_colon_female_adult__53_years_	4044	Transverse colon H3K27me3 Chip-Seq	CHIP_H3K27me3	Transverse colon	Digestive	Adult	Tissue
CHIP_H3K27me3_transverse_colon_male_adult__37_years_	3435	Transverse colon H3K27me3 Chip-Seq	CHIP_H3K27me3	Transverse colon	Digestive	Adult	Tissue
CHIP_H3K27me3_adrenal_gland_male_adult__34_years_	2021	Adrenal Gland H3K27me3 Chip-Seq	CHIP_H3K27me3	Adrenal Gland	Endocrine	Adult	Tissue
CHIP_H3K27me3_adrenal_gland_male_embryo__97_days_	2135	Adrenal Gland H3K27me3 Chip-Seq	CHIP_H3K27me3	Adrenal Gland	Endocrine	Adult	Tissue
Endocrine_pancreas_adult__59_years_	3268	Endocrine pancreas H3K27me3 Chip-Seq	CHIP_H3K27me3	Endocrine Pancreas	Endocrine	Adult	Tissue
Endocrine_pancreas_male_adult__46_years_	3250	Endocrine pancreas H3K27me3 Chip-Seq	CHIP_H3K27me3	Endocrine Pancreas	Endocrine	Adult	Tissue
Ovary_female_adult__30_years_	1564	Ovary H3K27me3 Chip-Seq	CHIP_H3K27me3	Ovary	Endocrine	Adult	Tissue
Pancreas_female_adult__30_years_	2948	Pancreas H3K27me3 Chip-Seq	CHIP_H3K27me3	Pancreas	Endocrine	Adult	Tissue
Pancreas_male_adult__34_years_	2035	Pancreas H3K27me3 Chip-Seq	CHIP_H3K27me3	Pancreas	Endocrine	Adult	Tissue
CHIP_H3K27me3_thyroid_gland_male_adult__37_years_	3762	Thyroid gland H3K27me3 Chip-Seq	CHIP_H3K27me3	Thyroid gland	Endocrine	Adult	Tissue
CHIP_H3K27me3_thyroid_gland_male_adult__54_years_	3253	Thyroid gland H3K27me3 Chip-Seq	CHIP_H3K27me3	Thyroid gland	Endocrine	Adult	Tissue
Endothelial_cell_of_umbilical_vein_male_newborn	694	Endothelial cell of umbilical vein H3K27me3 Chip-Seq	CHIP_H3K27me3	Endothelial Cell of Umbilical Vein	Endothelial	Newborn	Tissue
Endothelial_cell_of_umbilical_vein_male_newborn	1205	Endothelial cell of umbilical vein H3K27me3 Chip-Seq	CHIP_H3K27me3	Endothelial Cell of Umbilical Vein	Endothelial	Newborn	Tissue
CHIP_H3K27me3_tibial_artery_female_adult__53_years_	3117	Tibial artery H3K27me3 Chip-Seq	CHIP_H3K27me3	Tibial artery	Endothelial	Adult	Tissue
Luminal_epithelial_cell_of_mammary_gland_female_adult__33_years_	1807	Luminal epithelial cell of mammary gland H3K27me3 Chip-Seq	CHIP_H3K27me3	Luminal epithelial cell of mammary gland	Epithelial	Adult	Cell Line
Breast_epithelium_female_adult__53_years_	3833	Breast epithelium H3K27me3 Chip-Seq	CHIP_H3K27me3	Breast Epithelium	Epithelial	Adult	Tissue
Bronchial_epithelial_cell	1230	Bronchial epithelial cell H3K27me3 Chip-Seq	CHIP_H3K27me3	Bronchial Epithelial Cell	Epithelial	Adult	Tissue
Foreskin_keratinocyte_male_newborn	2281	Foreskin keratinocyte H3K27me3 Chip-Seq	CHIP_H3K27me3	Foreskin keratinocyte	Epithelial	Newborn	Tissue
Foreskin_keratinocyte_male_newborn	2601	Foreskin keratinocyte H3K27me3 Chip-Seq	CHIP_H3K27me3	Foreskin keratinocyte	Epithelial	Newborn	Tissue
Foreskin_keratinocyte_male_newborn	4084	Foreskin keratinocyte H3K27me3 Chip-Seq	CHIP_H3K27me3	Foreskin keratinocyte	Epithelial	Newborn	Tissue
Foreskin_melanocyte_male_newborn	1912	Foreskin melanocyte H3K27me3 Chip-Seq	CHIP_H3K27me3	Foreskin melanocyte	Epithelial	Newborn	Tissue
Foreskin_melanocyte_male_newborn	2171	Foreskin melanocyte H3K27me3 Chip-Seq	CHIP_H3K27me3	Foreskin melanocyte	Epithelial	Newborn	Tissue
Foreskin_melanocyte_male_newborn	3636	Foreskin melanocyte H3K27me3 Chip-Seq	CHIP_H3K27me3	Foreskin melanocyte	Epithelial	Newborn	Tissue
Kidney_epithelial_cell	1198	Kidney epithelial cell H3K27me3 Chip-Seq	CHIP_H3K27me3	Kidney epithelial cell	Epithelial	Adult	Tissue
Mammary_epithelial_cell_female_adult__18_years_	1873	Mammary epithelial cell H3K27me3 Chip-Seq	CHIP_H3K27me3	Mammary epithelial cell	Epithelial	Adult	Tissue
Mammary_epithelial_cell_female_adult__50_years_	708	Mammary epithelial cell H3K27me3 Chip-Seq	CHIP_H3K27me3	Mammary epithelial cell	Epithelial	Adult	Tissue
Hepatocyte_originated_from_H9	3418	Hepatocyte originated from H9 H3K27me3 Chip-Seq	CHIP_H3K27me3	Hepatocyte originated from H9	ES-deriv	Unknown	Cell Line
Ectodermal_cell_originated_from_embryonic_stem_cell	3572	Ectodermal cell H3K27me3 Chip-Seq	CHIP_H3K27me3	Ectodermal Cell	ES-deriv	Developing	In Vitro Differentiated
Endodermal_cell_originated_from_HUES64	2294	Endodermal cell H3K27me3 Chip-Seq	CHIP_H3K27me3	Endodermal Cell	ES-deriv	Developing	In Vitro Differentiated
Mesendoderm_originated_from_H1_hESC	2682	Mesendoderm originated from H1 hESC H3K27me3 Chip-Seq	CHIP_H3K27me3	Mesendoderm originated from H1 hESC	ES-deriv	Unknown	In Vitro Differentiated
Mid_neurogenesis_radial_glial_cells_genetically_modified_using_stable_transfection_originated_from_H9	1806	Mid neurogenesis radial glial cells genetically modified using stable transfection originated from H9 H3K27me3 Chip-Seq	CHIP_H3K27me3	Mid neurogenesis radial glial cells genetically modified using stable transfection originated from H9	ES-deriv	Unknown	In Vitro Differentiated
Neural_progenitor_cell_originated_from_H9	1887	Neural progenitor cell originated from H9 H3K27me3 Chip-Seq	CHIP_H3K27me3	Neural progenitor cell originated from H9	ES-deriv	Unknown	In Vitro Differentiated
Neural_stem_progenitor_cell_originated_from_H1_hESC	3580	Neural stem progenitor cell originated from H1 hESC H3K27me3 Chip-Seq	CHIP_H3K27me3	Neural stem progenitor cell originated from H1 hESC	ES-deriv	Unknown	In Vitro Differentiated
Neural_stem_progenitor_cell_originated_from_H1_hESC	3590	Neural stem progenitor cell originated from H1 hESC H3K27me3 Chip-Seq	CHIP_H3K27me3	Neural stem progenitor cell originated from H1 hESC	ES-deriv	Unknown	In Vitro Differentiated
Neural_stem_progenitor_cell_originated_from_H9	3139	Neural stem progenitor cell originated from H9 H3K27me3 Chip-Seq	CHIP_H3K27me3	Neural stem progenitor cell originated from H9	ES-deriv	Unknown	In Vitro Differentiated
Neuron_originated_from_H9	3566	Neuron originated from H9 H3K27me3 Chip-Seq	CHIP_H3K27me3	Neuron originated from H9	ES-deriv	Unknown	In Vitro Differentiated
Bipolar_neuron_originated_from_GM23338_treated_with_0_5_ug_mL_doxycycline_hyclate_for_4_days	2896	Bipolar neuron H3K27me3 Chip-Seq	CHIP_H3K27me3	Bipolar neuron	ES-deriv	Unknown	Tissue
Cardiac_mesoderm	1150	Cardiac mesoderm H3K27me3 Chip-Seq	CHIP_H3K27me3	Cardiac Mesoderm	ES-deriv	Unknown	Tissue
Cardiac_mesoderm	1151	Cardiac mesoderm H3K27me3 Chip-Seq	CHIP_H3K27me3	Cardiac Mesoderm	ES-deriv	Unknown	Tissue
Cardiac_mesoderm	1152	Cardiac mesoderm H3K27me3 Chip-Seq	CHIP_H3K27me3	Cardiac Mesoderm	ES-deriv	Unknown	Tissue
Cardiac_mesoderm	1153	Cardiac mesoderm H3K27me3 Chip-Seq	CHIP_H3K27me3	Cardiac Mesoderm	ES-deriv	Unknown	Tissue
H1_hESC	2034	H1 hESC H3K27me3 Chip-Seq	CHIP_H3K27me3	H1	ESC	Unknown	Cell Line
H1_hESC	2129	H1 hESC H3K27me3 Chip-Seq	CHIP_H3K27me3	H1	ESC	Unknown	Cell Line
H1_hESC	4313	H1 hESC H3K27me3 Chip-Seq	CHIP_H3K27me3	H1	ESC	Unknown	Cell Line
H7_hESC	1158	H7 hESC H3K27me3 Chip-Seq	CHIP_H3K27me3	H7	ESC	Unknown	Cell Line
H7_hESC	2070	H7 hESC H3K27me3 Chip-Seq	CHIP_H3K27me3	H7	ESC	Unknown	Cell Line
H9	3904	H9 H3K27me3 Chip-Seq	CHIP_H3K27me3	H9	ESC	Unknown	Cell Line
H9_genetically_modified_using_stable_transfection	3779	H9 genetically modified using stable transfection H3K27me3 Chip-Seq	CHIP_H3K27me3	H9	ESC	Unknown	Cell Line
HUES48	2260	HUES48 H3K27me3 Chip-Seq	CHIP_H3K27me3	HUES48	ESC	Unknown	Cell Line
HUES6	2697	HUES6 H3K27me3 Chip-Seq	CHIP_H3K27me3	HUES6	ESC	Unknown	Cell Line
HUES64	3402	HUES64 H3K27me3 Chip-Seq	CHIP_H3K27me3	HUES64	ESC	Unknown	Cell Line
CHIP_H3K27me3_UCSF_4	2944	UCSF-4 H3K27me3 Chip-Seq	CHIP_H3K27me3	UCSF-4	ESC	Unknown	Cell Line
Aorta_female_adult__30_years_	1860	Aorta H3K27me3 Chip-Seq	CHIP_H3K27me3	Aorta	Heart	Adult	Tissue
Aorta_male_adult__34_years_	2063	Aorta H3K27me3 Chip-Seq	CHIP_H3K27me3	Aorta	Heart	Adult	Tissue
Ascending_aorta_female_adult__51_year_	1774	Ascending aorta H3K27me3 Chip-Seq	CHIP_H3K27me3	Ascending Aorta	Heart	Adult	Tissue
Ascending_aorta_female_adult__53_years_	3269	Ascending aorta H3K27me3 Chip-Seq	CHIP_H3K27me3	Ascending Aorta	Heart	Adult	Tissue
Heart_embryo__101_day_	2325	Heart H3K27me3 Chip-Seq	CHIP_H3K27me3	Heart	Heart	Developing	Tissue
Heart_left_ventricle_female_adult__53_years_	4480	Heart left ventricle H3K27me3 Chip-Seq	CHIP_H3K27me3	Heart left ventricle	Heart	Adult	Tissue
Heart_left_ventricle_male_adult__34_years_	3014	Heart left ventricle H3K27me3 Chip-Seq	CHIP_H3K27me3	Heart left ventricle	Heart	Adult	Tissue
Heart_left_ventricle_male_child__3_years_	1793	Heart left ventricle H3K27me3 Chip-Seq	CHIP_H3K27me3	Heart left ventricle	Heart	Child	Tissue
Heart_right_ventricle_male_adult__34_years_	1653	Heart right ventricle H3K27me3 Chip-Seq	CHIP_H3K27me3	Heart right ventricle	Heart	Adult	Tissue
Heart_right_ventricle_male_child__3_years_	3534	Heart right ventricle H3K27me3 Chip-Seq	CHIP_H3K27me3	Heart right ventricle	Heart	Child	Tissue
Right_atrium_auricular_region_female_adult__53_years_	3910	Right atrium auricular region H3K27me3 Chip-Seq	CHIP_H3K27me3	Right atrium auricular region	Heart	Adult	Tissue
Right_cardiac_atrium_male_adult__34_years_	4432	Right cardiac atrium H3K27me3 Chip-Seq	CHIP_H3K27me3	Right cardiac atrium	Heart	Adult	Tissue
CHIP_H3K27me3_thoracic_aorta_male_adult__37_years_	4337	Thoracic aorta H3K27me3 Chip-Seq	CHIP_H3K27me3	Thoracic aorta	Heart	Adult	Tissue
K562	698	K562 H3K27me3 Chip-Seq	CHIP_H3K27me3	K562	HSC & B Cell	Unknown	Cell Line
K562	1388	K562 H3K27me3 Chip-Seq	CHIP_H3K27me3	K562	HSC & B Cell	Unknown	Cell Line
B_cell_female_adult__27_years_	1959	B cell H3K27me3 Chip-Seq	CHIP_H3K27me3	B cell	HSC & B Cell	Adult	Tissue
B_cell_male_adult__21_year_	2680	B cell H3K27me3 Chip-Seq	CHIP_H3K27me3	B cell	HSC & B Cell	Adult	Tissue
B_cell_male_adult__37_years_	3166	B cell H3K27me3 Chip-Seq	CHIP_H3K27me3	B cell	HSC & B Cell	Adult	Tissue
CD14_positive_monocyte_female	818	CD14 positive monocyte H3K27me3 Chip-Seq	CHIP_H3K27me3	CD14 positive monocyte	HSC & B Cell	Adult	Tissue
CD14_positive_monocyte_female	1216	CD14 positive monocyte H3K27me3 Chip-Seq	CHIP_H3K27me3	CD14 positive monocyte	HSC & B Cell	Adult	Tissue
CD14_positive_monocyte_male_adult__21_year_	1696	CD14 positive monocyte H3K27me3 Chip-Seq	CHIP_H3K27me3	CD14 positive monocyte	HSC & B Cell	Adult	Tissue
Common_myeloid_progenitor__CD34_positive	1568	Common myeloid progenitor CD34 positive H3K27me3 Chip-Seq	CHIP_H3K27me3	Common myeloid progenitor CD34 positive	HSC & B Cell	Adult	Tissue
Common_myeloid_progenitor__CD34_positive	2396	Common myeloid progenitor CD34 positive H3K27me3 Chip-Seq	CHIP_H3K27me3	Common myeloid progenitor CD34 positive	HSC & B Cell	Adult	Tissue
Common_myeloid_progenitor__CD34_positive_female_adult__27_years_	4113	Common myeloid progenitor CD34 positive H3K27me3 Chip-Seq	CHIP_H3K27me3	Common myeloid progenitor CD34 positive	HSC & B Cell	Adult	Tissue
Common_myeloid_progenitor__CD34_positive_female_adult__33_years_	2536	Common myeloid progenitor CD34 positive H3K27me3 Chip-Seq	CHIP_H3K27me3	Common myeloid progenitor CD34 positive	HSC & B Cell	Adult	Tissue
Common_myeloid_progenitor__CD34_positive_male_adult__36_years_	1484	Common myeloid progenitor CD34 positive H3K27me3 Chip-Seq	CHIP_H3K27me3	Common myeloid progenitor CD34 positive	HSC & B Cell	Adult	Tissue
Common_myeloid_progenitor__CD34_positive_male_adult__42_years_	2861	Common myeloid progenitor CD34 positive H3K27me3 Chip-Seq	CHIP_H3K27me3	Common myeloid progenitor CD34 positive	HSC & B Cell	Adult	Tissue
Natural_killer_cell_male_adult__21_year_	4336	Natural killer cell H3K27me3 Chip-Seq	CHIP_H3K27me3	Natural killer cell	HSC & B Cell	Adult	Tissue
Neutrophil	1626	Neutrophil H3K27me3 Chip-Seq	CHIP_H3K27me3	Neutrophil	HSC & B Cell	Adult	Tissue
Neutrophil_male	2244	Neutrophil H3K27me3 Chip-Seq	CHIP_H3K27me3	Neutrophil	HSC & B Cell	Adult	Tissue
GM23338_male_adult__53_years__originated_from_GM23248	2624	GM23338 male adult (53 years) originated from GM23248 H3K27me3 Chip-Seq	CHIP_H3K27me3	GM23338 male adult (53 years) originated from GM23248	iPSC	Unknown	Cell Line
iPS_DF_19_11_male_newborn	1761	iPS DF 19-11 male newborn H3K27me3 Chip-Seq	CHIP_H3K27me3	iPS DF 19-11 male newborn	iPSC	Newborn	Cell Line
iPS_DF_6_9_male_newborn	4281	iPS DF 6-9 male newborn H3K27me3 Chip-Seq	CHIP_H3K27me3	iPS DF 6-9 male newborn	iPSC	Newborn	Cell Line
iPS_15b_female_adult__48_years_	3251	iPS 15b female adult (48 years) H3K27me3 Chip-Seq	CHIP_H3K27me3	iPS 15b female adult (48 years)	iPSC	Adult	Tissue
iPS_18a_female_adult__48_years_	3748	iPS 18a female adult (48 years) H3K27me3 Chip-Seq	CHIP_H3K27me3	iPS 18a female adult (48 years)	iPSC	Adult	Tissue
iPS_20b_male_adult__55_years_	2529	iPS 20b male adult (55 years) H3K27me3 Chip-Seq	CHIP_H3K27me3	iPS 20b male adult (55 years)	iPSC	Adult	Tissue
Kidney_female_embryo__120_days_	3799	Kidney H3K27me3 Chip-Seq	CHIP_H3K27me3	Kidney	Kidney	Developing	Tissue
HepG2	749	HepG2 H3K27me3 Chip-Seq	CHIP_H3K27me3	HepG2	Liver	Unknown	Cell Line
HepG2	1181	HepG2 H3K27me3 Chip-Seq	CHIP_H3K27me3	HepG2	Liver	Unknown	Cell Line
Liver_female_adult__25_years_	4243	Liver H3K27me3 Chip-Seq	CHIP_H3K27me3	Liver	Liver	Adult	Tissue
Liver_male_adult__31_year_	2276	Liver H3K27me3 Chip-Seq	CHIP_H3K27me3	Liver	Liver	Adult	Tissue
Liver_male_adult__32_years_	3499	Liver H3K27me3 Chip-Seq	CHIP_H3K27me3	Liver	Liver	Adult	Tissue
Liver_male_adult__78_years_	2301	Liver H3K27me3 Chip-Seq	CHIP_H3K27me3	Liver	Liver	Adult	Tissue
Lung_female_adult__30_years_	2094	Lung H3K27me3 Chip-Seq	CHIP_H3K27me3	Lung	Lung	Adult	Tissue
Lung_female_embryo__120_days_	1796	Lung H3K27me3 Chip-Seq	CHIP_H3K27me3	Lung	Lung	Developing	Tissue
Lung_female_embryo__82_days_	3697	Lung H3K27me3 Chip-Seq	CHIP_H3K27me3	Lung	Lung	Developing	Tissue
CHIP_H3K27me3_upper_lobe_of_left_lung_female_adult__53_years_	4106	Upper lobe of left lung H3K27me3 Chip-Seq	CHIP_H3K27me3	Upper lobe of left lung	Lung	Adult	Tissue
GM06990	1131	GM06990 H3K27me3 Chip-Seq	CHIP_H3K27me3	GM06990	Lymphoblastoid	Unknown	Cell Line
GM12878	689	GM12878 H3K27me3 Chip-Seq	CHIP_H3K27me3	GM12878	Lymphoblastoid	Unknown	Cell Line
GM12878	1142	GM12878 H3K27me3 Chip-Seq	CHIP_H3K27me3	GM12878	Lymphoblastoid	Unknown	Cell Line
Mesenchymal_stem_cell_originated_from_adipose_tissue	2261	Mesenchymal stem cell originated from adipose tissue H3K27me3 Chip-Seq	CHIP_H3K27me3	Mesenchymal stem cell originated from adipose tissue	Mesench	Unknown	In Vitro Differentiated
Mesenchymal_stem_cell_originated_from_H1_hESC	4021	Mesenchymal stem cell originated from H1 hESC H3K27me3 Chip-Seq	CHIP_H3K27me3	Mesenchymal stem cell originated from H1 hESC	Mesench	Unknown	In Vitro Differentiated
Cardiac_muscle_cell	4121	Cardiac muscle cell H3K27me3 Chip-Seq	CHIP_H3K27me3	Cardiac Muscle Cell	Muscle	Adult	Tissue
Gastrocnemius_medialis_female_adult__53_years_	2083	Gastrocnemius medialis H3K27me3 Chip-Seq	CHIP_H3K27me3	Gastrocnemius medialis	Muscle	Adult	Tissue
Gastrocnemius_medialis_male_adult__37_years_	3064	Gastrocnemius medialis H3K27me3 Chip-Seq	CHIP_H3K27me3	Gastrocnemius medialis	Muscle	Adult	Tissue
Gastrocnemius_medialis_male_adult__54_years_	2739	Gastrocnemius medialis H3K27me3 Chip-Seq	CHIP_H3K27me3	Gastrocnemius medialis	Muscle	Adult	Tissue
Muscle_layer_of_colon_female_adult__56_years_	4099	Muscle layer of colon H3K27me3 Chip-Seq	CHIP_H3K27me3	Muscle layer of colon	Muscle	Adult	Tissue
Muscle_layer_of_colon_female_adult__77_years_	2607	Muscle layer of colon H3K27me3 Chip-Seq	CHIP_H3K27me3	Muscle layer of colon	Muscle	Adult	Tissue
Muscle_layer_of_duodenum_male_adult__59_years_	4317	Muscle layer of duodenum H3K27me3 Chip-Seq	CHIP_H3K27me3	Muscle layer of duodenum	Muscle	Adult	Tissue
Muscle_layer_of_duodenum_male_adult__73_years_	3950	Muscle layer of duodenum H3K27me3 Chip-Seq	CHIP_H3K27me3	Muscle layer of duodenum	Muscle	Adult	Tissue
Muscle_of_leg_female_embryo__110_days_	4376	Muscle of leg H3K27me3 Chip-Seq	CHIP_H3K27me3	Muscle of leg	Muscle	Developing	Tissue
Muscle_of_trunk_female_embryo__115_days_	3563	Muscle of trunk H3K27me3 Chip-Seq	CHIP_H3K27me3	Muscle of trunk	Muscle	Developing	Tissue
